Date,Dew,Humidity,Temperature,Derivative,After Normalization,Line Start,Line End
13-Dec,35.36,64,48.8,0.169624916,0.751433231,"47.29713353798624, 62.497133537986244","50.30286646201375, 65.50286646201376"
14-Jan,31.16,52.77,50.87,0.870850649,1,"48.87000000098217, 50.77000000098217","52.86999999901783, 54.769999999017834"
14-Feb,40.28,62.17,55.17,0.132689592,0.738340594,"53.693318812555525, 60.693318812555525","56.64668118744448, 63.64668118744448"
14-Mar,44.12,62.77,59.06,-0.013730588,0.686438347,"57.68712330609942, 61.397123306099424","60.43287669390058, 64.14287669390059"
14-Apr,52.1,61.83,69.4,0.18870593,0.758196967,"67.88360606537742, 60.313606065377414","70.91639393462259, 63.34639393462258"
14-May,57.96,62.51,74.8,0.205748212,0.764238025,"73.27152395056434, 60.98152395056435","76.32847604943565, 64.03847604943564"
14-Jun,61.03,67.93,82.7,-0.101500226,0.655326232,"81.38934753516766, 66.61934753516766","84.01065246483235, 69.24065246483235"
14-Jul,69.54,66.16,84.58,-0.059379462,0.670256977,"83.23948604621876, 64.81948604621874","85.92051395378124, 67.50051395378125"
14-Aug,68.41,59.41,87.35,-1.882911557,0.023861018,"87.30227796490928, 59.362277964909275","87.39772203509071, 59.45772203509072"
14-Sep,68.36,70.67,80.8,-0.038676578,0.677595625,"79.44480874993815, 69.31480874993815","82.15519125006185, 72.02519125006185"
14-Oct,60.25,65.54,74.74,0.085763003,0.721706306,"73.29658738781424, 64.09658738781425","76.18341261218575, 66.98341261218576"
14-Nov,42.8,65.43,55.96,0.032284632,0.702749578,"54.554500844724046, 64.02450084472406","57.365499155275955, 66.83549915527595"
14-Dec,46.51,75,55.32,0.172203254,0.752347187,"53.815305626950035, 73.49530562695004","56.824694373049965, 76.50469437304996"
15-Jan,36.51,67.03,48.93,-0.041387905,0.676634528,"47.57673094348784, 65.67673094348784","50.28326905651216, 68.38326905651216"
15-Feb,39.96,69.67,51.6,-0.053705034,0.672268418,"50.25546316363761, 68.32546316363761","52.944536836362396, 71.0145368363624"
15-Mar,39.96,74.48,60.48,-0.117140724,0.649782072,"59.18043585630482, 73.18043585630483","61.779564143695175, 75.77956414369518"
15-Apr,39.96,71.63,71.43,-0.04264205,0.676189966,"70.07762006867827, 70.27762006867826","72.78237993132174, 72.98237993132173"
15-May,39.96,78.51,75.41,-0.251446317,0.60217414,"74.20565172046963, 77.30565172046964","76.61434827953036, 79.71434827953037"
15-Jun,39.96,75.03,81.33,-0.057655239,0.67086817,"79.98826365934673, 73.68826365934673","82.67173634065327, 76.37173634065327"
15-Jul,39.96,66.41,85.83,-0.138832535,0.642092874,"84.54581425186663, 65.12581425186663","87.11418574813337, 67.69418574813336"
15-Aug,39.96,56.87,87.64,-1.950225271,1.04E-08,"87.6399999791565, 56.86999997915649","87.6400000208435, 56.870000020843506"
15-Sep,39.96,61.03,83.56,-0.345004794,0.569010028,"82.42197994385305, 59.89197994385304","84.69802005614696, 62.168020056146965"
15-Oct,39.96,59.67,74.8,0.00517568,0.69314014,"73.41371971902186, 58.28371971902186","76.18628028097814, 61.05628028097814"
15-Nov,39.96,71.77,61.76,0.032265299,0.702742725,"60.354514550847036, 70.36451455084703","63.16548544915296, 73.17548544915296"
15-Dec,39.96,71.51,57.29,0.173221349,0.752708076,"55.78458384899148, 70.00458384899149","58.79541615100852, 73.01541615100852"
16-Jan,39.96,64.06,52.16,0.075232712,0.717973585,"50.72405283065261, 62.624052830652616","53.59594716934738, 65.49594716934739"
16-Feb,39.96,56.72,60.17,0.073843507,0.717481147,"58.73503770671588, 55.285037706715876","61.604962293284125, 58.15496229328412"
16-Mar,39.96,66.67,66.32,-0.029301968,0.680918687,"64.9581626261447, 65.3081626261447","67.68183737385529, 68.0318373738553"
16-Apr,39.96,69.37,70.3,-0.15083586,0.637837999,"69.02432400152779, 68.0943240015278","71.5756759984722, 70.64567599847221"
16-May,39.96,75.25,74.41,-0.047203586,0.674573017,"73.06085396657748, 73.90085396657749","75.75914603342251, 76.59914603342251"
16-Jun,39.96,70.13,83.3,-0.025827316,0.682150363,"81.93569927366927, 68.76569927366927","84.66430072633072, 71.49430072633072"
16-Jul,39.96,65.48,88.25,-0.443540007,0.53408179,"87.18183641995928, 64.41183641995929","89.31816358004072, 66.54816358004072"
16-Aug,39.96,73.74,84.64,0.182439199,0.75597557,"83.12804886015233, 72.22804886015233","86.15195113984767, 75.25195113984766"
16-Sep,39.96,70.1,82.7,-0.067024743,0.667546918,"81.36490616323212, 68.76490616323211","84.03509383676789, 71.43509383676788"
16-Oct,39.96,66.12,75.9,0.102076837,0.727489147,"74.445021705456, 64.665021705456","77.35497829454401, 67.57497829454401"
16-Nov,39.96,72.53,65.9,-0.087789361,0.660186387,"64.57962722622663, 71.20962722622663","67.22037277377338, 73.85037277377337"
16-Dec,39.96,69.45,55.29,0.038542152,0.70496771,"53.8800645801014, 68.0400645801014","56.6999354198986, 70.8599354198986"
17-Jan,39.96,62.68,56.83,0.077451285,0.718760012,"55.39247997535202, 61.24247997535202","58.26752002464798, 64.11752002464797"
17-Feb,39.96,63.39,64.67,-0.015079296,0.685960264,"63.29807947175306, 62.01807947175306","66.04192052824693, 64.76192052824693"
17-Mar,39.96,65.83,68.81,-0.019762412,0.684300218,"67.44139956356285, 64.46139956356285","70.17860043643715, 67.19860043643715"
17-Apr,39.96,66.7,72.03,0.061787061,0.713207442,"70.60358511685787, 65.27358511685787","73.45641488314213, 68.12641488314213"
17-May,39.96,65.51,76.58,0.142272495,0.74173749,"75.09652501916682, 64.02652501916683","78.06347498083318, 66.99347498083318"
17-Jun,39.96,65.4,84.23,-0.12938454,0.645441949,"82.93911610166671, 64.10911610166671","85.5208838983333, 66.6908838983333"
17-Jul,39.96,58.22,89.16,-1.355690907,0.21074739,"88.73850522055217, 57.79850522055218","89.58149477944782, 58.64149477944782"
